proceedingId,conferenceName,year,venue,city,edition
82e9f822-481a-410f-ad48-df2ce736d8f5,AAAI Conference on Artificial Intelligence,2021,Nanyang Technological University,Singapore,40
544456c1-f6a0-4a5c-9615-c134b465dd75,AAAI Conference on Artificial Intelligence,2022,Massachusetts Institute of Technology,Boston,41
73935de0-a1cc-4592-93b8-1c0b34ce0e86,AAAI Conference on Artificial Intelligence,2023,Singapore Management University,Singapore,42
6b837b1d-90af-4ca2-8eef-af1d228a8a7e,AAAI Conference on Artificial Intelligence,2024,Beijing University of Posts and Telecommunications,Beijing,43
e031dadb-f8b7-4746-8b14-0acf42b17ece,AAAI Conference on Human Computation & Crowdsourcing,2014,Delft University of Technology,Amsterdam,1
0222ff84-7a5d-4fa8-8539-0b94ab2cf145,AAAI Conference on Human Computation & Crowdsourcing,2016,Cornell Tech,New York,3
50395a7d-ad48-4cc2-83c8-497ab8a1072c,AAAI Conference on Human Computation & Crowdsourcing,2018,York University,Toronto,5
ff1a8463-3eae-4b2c-bb5b-cf8e3d1c159f,AAAI Conference on Human Computation & Crowdsourcing,2019,City University of New York,New York,6
e8f7790d-98fd-4d2d-99b7-54daabd5dca2,AAAI Conference on Human Computation & Crowdsourcing,2020,University of New South Wales,Sydney,7
3c8f35b4-178b-4fde-9984-47ef439f5f60,AAAI Conference on Human Computation & Crowdsourcing,2021,University College London,London,8
12edec52-87f3-456a-8d69-435a5f8a3fee,AAAI Conference on Human Computation & Crowdsourcing,2022,University of Toronto,Toronto,9
720645d3-17fe-4e82-99db-09e997966263,AAAI Fall Symposium: Information Retrieval and Knowledge Discovery in Biomedical Text,2012,VU Amsterdam,Amsterdam,1
0634871d-0eca-4502-8dc3-7a2ef9057efe,AAAI Spring Symposium: Linked Data Meets Artificial Intelligence,2010,University of Sydney,Sydney,1
c0778d24-ce3b-4365-a49d-7fe33cab3b30,AAAI Spring Symposium: MLPS,2020,Imperial College London,London,1
1f92a61c-596b-41cf-bb3c-ff65152722a6,AAAI Workshops,2018,University of New South Wales,Sydney,1
b56d1c9a-920f-4596-a76c-ffdfa249729e,"AAAI/ACM Conference on AI, Ethics, and Society",2017,Tsinghua University,Beijing,1
4483dac2-84a6-4cc9-84c4-1ee2f06b5399,"AAAI/ACM Conference on AI, Ethics, and Society",2018,University of Toronto,Toronto,2
0a9d10a6-e3b0-4b71-968f-c6df90c39bd0,"AAAI/ACM Conference on AI, Ethics, and Society",2019,Massachusetts Institute of Technology,Boston,3
010b227d-3138-4303-8ad4-b0972e4ce57e,"AAAI/ACM Conference on AI, Ethics, and Society",2020,Nanyang Technological University,Singapore,4
1925b433-189f-41d5-82a2-721038cceed2,"AAAI/ACM Conference on AI, Ethics, and Society",2022,Massachusetts Institute of Technology,Boston,6
e451ba55-93f8-4677-859f-f731b0550735,AAMAS Workshops,2017,Sorbonne University,Paris,1
dd0353e3-d49b-426f-b5f9-d251b9c91935,ACM Asia Conference on Computer and Communications Security,2006,University of Chicago,Chicago,1
9eeed290-664f-402c-9244-4d8c46c5f68f,ACM Asia Conference on Computer and Communications Security,2011,Northwestern University,Chicago,6
2034cd78-d35b-44fd-8fcf-a9c3e55e6bad,ACM Asia Conference on Computer and Communications Security,2016,Northwestern University,Chicago,11
15face93-9437-498b-a0fd-b07b048fd225,ACM Asia Conference on Computer and Communications Security,2017,Nanyang Technological University,Singapore,12
73807c12-51c6-4179-bced-e1d90e134413,"ACM Conference on Health, Inference, and Learning",2021,Macquarie University,Sydney,1
abffb184-7954-4989-adce-3372a12f2534,ACM Conference on Hypertext & Social Media,2019,Stanford University,San Francisco,1
d2a3584f-4a5c-4804-b1fd-68fbaac5a2d2,ACM Conference on Hypertext & Social Media,2022,Keio University,Tokyo,4
a3ddbfa0-0521-40d3-8c15-e48e5a22a70e,ACM Conference on Recommender Systems,2016,Illinois Institute of Technology,Chicago,1
0101990c-e53c-4ad7-ab67-7022d34c39fc,ACM Conference on Recommender Systems,2017,Nanyang Technological University,Singapore,2
6d0de5d1-8240-4c8f-9a64-613439c0d126,ACM Conference on Recommender Systems,2019,University of Waterloo,Toronto,4
aaaa982d-ef90-4620-b738-d86a485e593f,ACM Great Lakes Symposium on VLSI,2008,Berkeley,San Francisco,1
7306be12-f13f-411d-9a4b-508784727758,ACM International Conference on Computing Frontiers,2006,Illinois Institute of Technology,Chicago,1
b6e8f684-b393-4af5-9ce5-08d25eaf55f9,ACM International Workshop on Storage Security And Survivability,2008,ETH Zurich,Zurich,1
f253806d-d75b-4b0e-b28f-4f2af696c326,ACM SIAM Symposium on Discrete Algorithms,1991,University of Sydney,Sydney,1
88469137-b8a2-45f1-8eaa-16db440f0b42,ACM SIAM Symposium on Discrete Algorithms,1993,Swiss Federal Institute of Technology,Zurich,3
ad6b7c12-d3e9-43a5-a7ee-634de1cd4337,ACM SIAM Symposium on Discrete Algorithms,1994,Loyola University Chicago,Chicago,4
c68600c0-7cf3-492e-9443-2111fbe931e3,ACM SIAM Symposium on Discrete Algorithms,2000,University of Tokyo,Tokyo,10
cb26d5ae-b468-4dc0-8fbd-46d2b6b4f7d0,ACM SIAM Symposium on Discrete Algorithms,2001,University College London,London,11
da3274b8-b86d-4bc6-b34d-b4ec571fe37a,ACM SIAM Symposium on Discrete Algorithms,2002,Cornell Tech,New York,12
d20ad0df-7bee-4a4a-ab30-caba1bd23761,ACM SIAM Symposium on Discrete Algorithms,2003,Singapore Management University,Singapore,13
79e54dcb-4982-4863-b5a3-88bcbd468bb6,ACM SIAM Symposium on Discrete Algorithms,2004,University of New South Wales,Sydney,14
4d30cb51-ba19-47a5-ae11-5b26d0732ff6,ACM SIAM Symposium on Discrete Algorithms,2005,Humboldt University of Berlin,Berlin,15
54af6623-40c9-477f-a4cf-d47da3641f32,ACM SIAM Symposium on Discrete Algorithms,2006,University of Tokyo,Tokyo,16
0cdc6648-3354-4b6d-bf10-cab11717b716,ACM SIAM Symposium on Discrete Algorithms,2007,Peking University,Beijing,17
bc244b29-2746-485d-96d5-e0a5918086e6,ACM SIAM Symposium on Discrete Algorithms,2010,City University of New York,New York,20
25c6bfd9-2ab3-4366-9213-32ac4260337d,ACM SIAM Symposium on Discrete Algorithms,2016,National University of Singapore,Singapore,26
f24f7d8b-aadf-4af6-9782-c45416711078,ACM SIAM Symposium on Discrete Algorithms,2017,Humboldt University of Berlin,Berlin,27
c0e1f958-5b91-4d36-8216-181f9ccf4131,ACM SIAM Symposium on Discrete Algorithms,2019,Sciences Po,Paris,29
88c47f47-178c-416c-a893-82d581c46c75,ACM SIAM Symposium on Discrete Algorithms,2020,Technical University of Berlin,Berlin,30
b5d4f16d-9c98-4b14-91d7-b492c028cfa6,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,1991,University of Waterloo,Toronto,1
126424b6-837b-4505-b0af-e0eee9c70a59,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,1995,Korea Advanced Institute of Science and Technology,Seoul,5
703c8e53-d2a1-4c43-a847-20d643e69213,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,1997,Singapore Management University,Singapore,7
8a6df0d1-6bde-4acf-b103-c3d7d17c2cd1,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,1998,Swiss Federal Institute of Technology,Zurich,8
a273ba46-762c-4fd0-bcbf-d40b2cac0047,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,1999,Korea Advanced Institute of Science and Technology,Seoul,9
b063b88c-1d67-4015-9ffb-7cd9cb4c8499,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2001,York University,Toronto,11
175c5732-2ad0-4223-8f99-2a77300542ff,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2002,Wageningen University,Amsterdam,12
d485dbc3-5a69-44e8-9db2-85c38c1b805a,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2003,Free University of Berlin,Berlin,13
09db74d5-65ca-4a29-9695-79a2aebb4af3,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2004,Sciences Po,Paris,14
21faa0dc-3483-4c71-b902-0445cb345b6c,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2005,Yonsei University,Seoul,15
8c06f1a4-f33f-415e-84e5-7f4e744afc69,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2006,Swiss Federal Institute of Technology,Zurich,16
6b10df90-b630-4b41-bf24-0b4a5d12324b,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2007,Keio University,Tokyo,17
a55bfd5d-cf72-45e0-9444-f2aaf77f6108,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2008,Tokyo Institute of Technology,Tokyo,18
c0472ad8-6942-4c01-8133-ebd9b376018a,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2009,Swiss Federal Institute of Technology,Zurich,19
7436e7b1-dfe0-4f8a-b809-a4573aba2a80,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2011,Delft University of Technology,Amsterdam,21
994d4866-84b4-410e-a705-8980ff7eb651,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2012,Tsinghua University,Beijing,22
fe31205e-be76-47cf-937f-f40a5996117b,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2013,Yonsei University,Seoul,23
e6e4e269-f0c4-479d-af94-2b0157da6f64,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2014,University of New South Wales,Sydney,24
0be1c32e-a59b-4751-a24a-78604892b4c8,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2015,University of Sydney,Sydney,25
57f2d4f5-43a1-4bf3-9c3d-707d1e64bcb7,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2018,Tokyo Institute of Technology,Tokyo,28
2656ffba-3ad2-4bd7-aa9d-1ecc4f0e6dd6,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,2020,Northwestern University,Chicago,30
ce25799e-2284-443c-841d-16ca27e431f6,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing,1995,University of Sydney,Sydney,1
5753d85c-672b-4ac1-b3cf-c61ebbb9c4be,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing,2001,New York University,New York,7
39a99853-c94e-4dc4-9a46-56c702acdc28,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing,2002,Singapore Management University,Singapore,8
3bea40e2-0e94-4c6f-8a8c-e7f97615bb21,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing,2016,University of Chicago,Chicago,22
ea1de4a9-ce16-42eb-a21e-656e16572414,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing,2017,Illinois Institute of Technology,Chicago,23
8a2593ab-4ac1-446d-88c3-d5553a101723,ACM SIGACT Symposium on Principles of Programming Languages,2011,Singapore Management University,Singapore,1
775a8131-e50e-4ec5-8d98-a639d26779e1,ACM SIGCHI Annual Symposium on Computer Human Interaction in Play,2018,Yonsei University,Seoul,1
9c8a061b-5427-46d9-98a4-c82e6566ea04,ACM SIGCHI Annual Symposium on Computer Human Interaction in Play,2020,Boston University,Boston,3
395056be-cf3a-447b-a838-4aebdec96cef,ACM SIGCOMM Conference,2021,ETH Zurich,Zurich,1
b320cc32-81c1-45d9-b97d-847f12c9079b,"ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services",2021,University of Zurich,Zurich,1
aff7a813-dac3-472e-80ad-616d4d152c43,ACM SIGMOD Conference,1979,Northeastern University,Boston,1
38cd018a-9817-4702-8f23-2f53d9b17d82,ACM SIGMOD Conference,1984,Illinois Institute of Technology,Chicago,6
49ab2c01-0821-4e01-8376-5e552f3931f9,ACM SIGMOD Conference,1986,Delft University of Technology,Amsterdam,8
b6afde84-dc86-48f6-9b3b-689bcbbacefe,ACM SIGMOD Conference,1987,Berkeley,San Francisco,9
725aba0e-32d9-4d60-8b10-376473526fcb,ACM SIGMOD Conference,1988,Singapore Management University,Singapore,10
3ff884b3-d05f-472e-bbf4-3673f54bf835,ACM SIGMOD Conference,1989,Singapore Management University,Singapore,11
866808c0-393e-4c8b-a18f-94a731470d29,ACM SIGMOD Conference,1990,Korea Advanced Institute of Science and Technology,Seoul,12
7795acb7-6cf7-4191-92d5-2b55e7aa8a90,ACM SIGMOD Conference,1991,Seoul National University,Seoul,13
9747535a-58f9-4254-87fa-d167e2d33944,ACM SIGMOD Conference,1992,VU Amsterdam,Amsterdam,14
b6d0b6c1-76d8-4aa1-816d-1add7341737d,ACM SIGMOD Conference,1994,University of Waterloo,Toronto,16
7acd7e47-19ff-4853-b057-eb0b8377c648,ACM SIGMOD Conference,1995,Beijing University of Posts and Telecommunications,Beijing,17
f1c98545-9486-41c7-acb0-90a088fccc44,ACM SIGMOD Conference,1996,University of Tokyo,Tokyo,18
1822ce5b-0713-41a6-a891-9e645446eeda,ACM SIGMOD Conference,1997,Tsinghua University,Beijing,19
78c70e4f-1c09-40dc-b56c-e7366621a7b7,ACM SIGMOD Conference,1998,Yonsei University,Seoul,20
44351412-1442-489f-a47f-e5a36cd99ac9,ACM SIGMOD Conference,1999,Columbia University,New York,21
7a972efb-459d-40d0-988f-2edede336e5d,ACM SIGMOD Conference,2000,Loyola University Chicago,Chicago,22
7af88b81-b632-417d-ad70-8d70ca885bf3,ACM SIGMOD Conference,2001,Macquarie University,Sydney,23
5ef6d336-ce54-44a6-888f-8dc68cf13929,ACM SIGMOD Conference,2002,Humboldt University of Berlin,Berlin,24
eb973d2c-f2c9-4391-adb9-938827b346e8,ACM SIGMOD Conference,2003,University of Tokyo,Tokyo,25
7e2a04dd-341e-49dc-a6ed-085bbe4be599,ACM SIGMOD Conference,2004,Keio University,Tokyo,26
2f9a1193-eb68-48aa-b9ff-d244f1163c30,ACM SIGMOD Conference,2005,Stanford University,San Francisco,27
33ca9461-bf4e-4fcc-af55-594e5b5be65e,ACM SIGMOD Conference,2007,ETH Zurich,Zurich,29
13fbd851-639b-4faa-9da6-1a36fcb8dba5,ACM SIGMOD Conference,2011,York University,Toronto,33
ba6d14af-8f5e-4b5f-8837-c89a9b4ac605,ACM SIGMOD Conference,2012,Stanford University,San Francisco,34
8fc9e154-1d90-43d9-b017-fcdeb5a86d78,ACM SIGMOD Conference,2013,"University of California, San Francisco",San Francisco,35
11db8142-8467-48db-87b9-d4415a0f5286,ACM SIGPLAN International Conference on Functional Programming,1998,University of Zurich,Zurich,1
3bae11d6-791c-4589-90c0-67a1fa9c3bf3,ACM SIGPLAN International Conference on Functional Programming,1999,University of Tokyo,Tokyo,2
11941178-691d-47c3-9866-ac6d31b4c426,ACM SIGPLAN International Conference on Functional Programming,2003,City University of New York,New York,6
33afae80-825f-491a-a4e5-a0dbfbe48d6a,ACM SIGPLAN International Workshop on Types In Languages Design And Implementation,2003,Keio University,Tokyo,1
edbd3f59-87f4-4408-906e-956632099566,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2008,Boston University,Boston,1
19979f4a-de43-4fb0-8736-38946c212c6c,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2010,Korea Advanced Institute of Science and Technology,Seoul,3
ae5343cf-1dc7-4ca2-bb79-58b0a69b0f4d,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2015,Swiss Federal Institute of Technology,Zurich,8
7e900ab6-366f-4692-9e04-d75457756be5,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2017,Peking University,Beijing,10
45895de7-b231-47aa-9efa-8507053e1baf,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2018,University of Tokyo,Tokyo,11
3615a59a-ffe4-497b-b3c4-77e043747d88,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2019,New York University,New York,12
45b776a6-850d-4802-b7c8-d940e4b084b3,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,2020,Cornell Tech,New York,13
c5b06315-dbdf-4e17-8d46-c36ac90bce15,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2005,Beijing Normal University,Beijing,1
c364a149-bd39-4d0d-8acd-709898f5403c,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2010,Paris-Saclay University,Paris,6
f9fad56b-eda9-461e-af1d-0827d11d67eb,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2011,University of New South Wales,Sydney,7
982118be-d6ce-4373-977f-795ea30d849b,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2013,Beijing University of Posts and Telecommunications,Beijing,9
3aeea803-096c-400c-9a31-dac49fe5f36b,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2015,University of New South Wales,Sydney,11
692cd8fb-d1fb-403a-8281-76fbf0f617f9,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2018,University of Oxford,London,14
0d6e88e0-e975-4e59-8c86-41ee89f6feb5,ACM SIGPLAN Symposium on Programming Language Design and Implementation,2019,École Polytechnique,Paris,15
491446f2-71b6-4d9d-b7ac-e88278bc16b0,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,2008,Technical University of Berlin,Berlin,1
e5258e91-763e-4573-94cf-61590993edad,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,2009,Illinois Institute of Technology,Chicago,2
ddf57cfb-9037-46c0-8226-41e71a6562bd,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,2011,Northwestern University,Chicago,4
84865a40-4a91-4896-a629-b88b81f0d2f8,ACM Southeast Regional Conference,2022,Northwestern University,Chicago,1
bbe6ac60-c13e-4fb1-8c4d-b09fe7732f6e,ACM Symposium on Applied Computing,2001,Sciences Po,Paris,1
780f8274-e88e-4604-8b5b-d15e34389f0e,ACM Symposium on Applied Computing,2009,Free University of Berlin,Berlin,9
f0c40d8b-1329-4575-a3f9-97c46da9ad43,ACM Symposium on Applied Computing,2012,University of Zurich,Zurich,12
bd89db40-b8ea-4e0a-a122-b52ecb81f9f1,ACM Symposium on Applied Computing,2013,Charité - Universitätsmedizin Berlin,Berlin,13
e5eca61b-e423-4b26-bbab-57974b8177fb,ACM Symposium on Applied Computing,2016,Stanford University,San Francisco,16
aeeb0e02-6e80-4513-abdc-dde0f39443e8,ACM Symposium on Applied Computing,2018,Wageningen University,Amsterdam,18
23e7c2eb-7103-4cf9-b525-34e4bdda196a,ACM Symposium on Applied Computing,2019,University of Oxford,London,19
d76d4e3a-7a63-47dc-b5db-283a0b97e036,ACM Symposium on Applied Computing,2021,Nanyang Technological University,Singapore,21
0eb6781b-8ca1-4951-9a47-883dcf487a9c,ACM Symposium on Cloud Computing,2010,Paris-Saclay University,Paris,1
98f58f40-3d33-4cf9-a3b5-fdd9265059ce,ACM Symposium on Cloud Computing,2011,University of Zurich,Zurich,2
3480f4de-908c-4174-8277-0fe6f165a1a9,ACM Symposium on Cloud Computing,2013,Swiss Federal Institute of Technology,Zurich,4
67d97196-a754-4ab5-85c2-091284235aa8,ACM Symposium on Cloud Computing,2014,Berkeley,San Francisco,5
27499be2-1f67-4ba4-98ca-741a9c154900,ACM Symposium on Cloud Computing,2015,Peking University,Beijing,6
07536f50-aa3d-4372-9f89-8ac8dc5aa103,ACM Symposium on Cloud Computing,2016,University of Zurich,Zurich,7
9dce6643-91a5-43a0-a226-eb332c736147,ACM Symposium on Cloud Computing,2017,ETH Zurich,Zurich,8
eb78fccb-15af-4512-be90-577e4b40ec09,ACM Symposium on Cloud Computing,2019,University of New South Wales,Sydney,10
43c64649-90dc-47e2-8b46-699bbe230e68,ACM Symposium on Cloud Computing,2020,Illinois Institute of Technology,Chicago,11
5f85c9ce-3d00-44a0-9499-25d93bc72956,ACM Symposium on Parallelism in Algorithms and Architectures,2007,City University of New York,New York,1
43be3793-e0b8-4be9-b9f8-d6da8b5d6a19,ACM Symposium on Parallelism in Algorithms and Architectures,2010,Northwestern University,Chicago,4
76aec9c5-bf42-4bbd-9a3f-f8adca2ee59b,ACM Symposium on Parallelism in Algorithms and Architectures,2011,City University of New York,New York,5
3d82caa0-7fe7-4aec-bfa3-4b7e9dbd3a77,ACM Symposium on Parallelism in Algorithms and Architectures,2016,University of Tokyo,Tokyo,10
8f7cb1c8-a5b2-450a-8152-c2d346ac9c26,ACM Symposium on User Interface Software and Technology,2013,New York University,New York,1
ec723bd2-7531-428b-93bb-5e95b963ee5a,ACM Symposium on User Interface Software and Technology,2018,Nanyang Technological University,Singapore,6
5a0dcfcd-7bfd-44ad-a027-717b7a1da385,ACM Symposium on User Interface Software and Technology,2020,National University of Singapore,Singapore,8
427e88c0-6f32-4be3-9bf9-823c54fce200,ACM Symposium on User Interface Software and Technology,2023,"University of California, San Francisco",San Francisco,11
78e1149a-231c-4a94-89ca-34345931c33d,ACM Workshop on Hot Topics in Networks,2016,Beijing Normal University,Beijing,1
d8cfeaf2-bbaa-499b-b328-1aa57c737a9a,ACM Workshop on Hot Topics in Networks,2017,University of New South Wales,Sydney,2
5a329950-95d1-48a8-a9a4-390914237486,ACM on Interactive Mobile Wearable and Ubiquitous Technologies,2018,Harvard University,Boston,1
e88a7abd-6258-4cbc-a75e-96819e9a2dc0,ACM on Interactive Mobile Wearable and Ubiquitous Technologies,2019,Harvard University,Boston,2
8a053756-3685-42eb-95c2-f0603835e06a,ACM on Interactive Mobile Wearable and Ubiquitous Technologies,2021,University of Sydney,Sydney,4
ef40d22c-5c86-4fcb-89ce-e3ef5a12267b,ACM/IEEE Design Automation Conference,2009,University of Technology Sydney,Sydney,1
da00ce3a-bfcb-439c-9e8c-3f32cdc706ed,"ACM/IEEE International Conference for High Performance Computing, Networking, Storage and Analysis",2010,Beijing University of Posts and Telecommunications,Beijing,1
80e82fb8-b47d-4a6d-910f-f0711e23bd2b,ACM/IEEE International Conference on Software Engineering,2010,Macquarie University,Sydney,1
8215418f-f87d-490a-91f5-c3e5225a1614,ACM/IEEE Joint Conference on Digital Libraries,2007,Berkeley,San Francisco,1
af24614a-06f7-4d1d-8cac-330553a3d3cb,ACM/IEEE Joint Conference on Digital Libraries,2018,École Polytechnique,Paris,12
fb059026-1c2c-4230-be87-38d251ed2fd8,ACM/IEEE SC2004 Conference,2004,Boston University,Boston,1
acedddef-2f12-41cb-afeb-1cb85bfce9e2,ACM/SIGCOMM Internet Measurement Conference,2004,Cornell Tech,New York,1
9fc734be-943f-4563-8b9e-1141b30437b2,ACM/SIGCOMM Internet Measurement Conference,2007,University of Technology Sydney,Sydney,4
171d9263-8892-48ee-bdd7-44770e5f0711,ACM/SIGCOMM Internet Measurement Conference,2012,University College London,London,9
eb38873a-af4f-4824-ab62-97abe80d1072,ACM/SIGCOMM Internet Measurement Conference,2018,Boston University,Boston,15
a9ce0555-5e51-4eca-8566-8a848918c9b8,ACS/IEEE International Conference on Computer Systems and Applications,2016,Ryerson University,Toronto,1
d1324a2f-f36f-4909-98f6-e1c3ea48e785,ACS/IEEE International Conference on Computer Systems and Applications,2018,Ryerson University,Toronto,3
3d7fa4a4-a261-47d2-8c23-fdaf1ff02351,ACS/IEEE International Conference on Computer Systems and Applications,2019,University of Oxford,London,4
748a55e2-8f91-4026-a001-26b55f4aabcc,ACS/IEEE International Conference on Computer Systems and Applications,2022,University College London,London,7
2719b833-7ffd-4504-a9b9-9b6020d2a4ce,AFIPS Spring Joint Computing Conference,1968,Singapore Management University,Singapore,1
6fe455e4-1acd-444f-a221-66d98b0c8e4b,AIP Conference,2022,Boston University,Boston,1
84c685e6-3848-4f49-8625-05f300a7cdba,AIP Conference,2023,Tsinghua University,Beijing,2
fc79d3aa-a43e-4069-bc1c-c8505df72f35,AMIA ... Annual Symposium proceedings. AMIA Symposium,2011,Cornell Tech,New York,1
0a6f1c16-4efd-45f3-8462-ca81eb588597,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2012,Swiss Federal Institute of Technology,Zurich,1
7492a983-77b5-4bb5-ad62-6696d13047df,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2013,Cornell Tech,New York,2
2aeda9c5-1e23-463d-8f44-5ad2444da32f,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2014,Delft University of Technology,Amsterdam,3
43c88c37-d88c-44ab-a38e-e045d34ace82,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2015,National University of Singapore,Singapore,4
0036ea52-000e-4aae-9fc0-b5445575904c,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2018,San Francisco State University,San Francisco,7
87bef860-ca59-4dc2-938d-fed5c4cd153d,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2019,National University of Singapore,Singapore,8
4064e14f-fbd4-4340-8f2a-6afd73c8120d,ASLIB,2013,Yonsei University,Seoul,1
4023d91c-318b-4bbe-8453-36a6a988b091,Academy of Management,2022,York University,Toronto,1
69d1580e-1458-42b0-a449-ed8e0b704758,Advanced Industrial Conference on Telecommunications,2011,Free University of Berlin,Berlin,1
